sexe,prenom,annee,nombre
1,AARON,1990,11
1,AARON,1994,11
1,AARON,1995,20
1,AARON,1996,12
1,AARON,1997,42
1,AARON,1998,56
1,AARON,1999,52
1,AARON,2000,79
1,AARON,2001,90
1,AARON,2002,99
1,AARON,2003,90
1,AARON,2004,281
1,AARON,2005,390
1,AARON,2006,558
1,AARON,2007,889
1,AARON,2008,1367
1,AARON,2009,1335
1,AARON,2010,1587
1,AARON,2011,1752
1,AARON,2012,1711
1,AARON,2013,1900
1,AARON,2014,2050
1,AARON,2015,2151
1,AARON,2016,2364
1,AARON,2017,2372
1,AARON,2018,2241
1,AARON,2019,2438
1,AARON,2020,2313
1,AARON,2021,2489
1,AARON,2022,2282
1,ABD,1956,13
1,ABD,1957,15
1,ABD,1958,21
1,ABD,1959,16
1,ABD,1960,19
1,ABD,1962,20
1,ABD,1963,29
1,ABD,1968,12
1,ABD,1970,11
1,ABD,1971,12
1,ABD,2007,13
1,ABD,2008,12
1,ABD,2010,14
1,ABD,2011,14
1,ABD,2012,22
1,ABD,2013,13
1,ABD,2014,33
1,ABD,2015,26
1,ABD,2016,30
1,ABD,2017,25
1,ABD,2018,25
1,ABD,2019,12
1,ABD,2021,14
1,ABD-EL,1954,10
1,ABD-EL,1956,11
1,ABD-EL,1957,16
1,ABD-EL,1962,16
1,ABD-EL,1964,12
1,ABDALLAH,1955,10
1,ABDALLAH,1957,13
1,ABDALLAH,1958,14
1,ABDALLAH,1959,18
1,ABDALLAH,1960,20
1,ABDALLAH,1961,31
1,ABDALLAH,1962,40
1,ABDALLAH,1963,30
1,ABDALLAH,1964,37
1,ABDALLAH,1965,47
1,ABDALLAH,1966,52
1,ABDALLAH,1967,45
1,ABDALLAH,1968,28
1,ABDALLAH,1969,39
1,ABDALLAH,1970,45
1,ABDALLAH,1971,27
1,ABDALLAH,1972,27
1,ABDALLAH,1973,35
1,ABDALLAH,1974,29
1,ABDALLAH,1975,46
1,ABDALLAH,1976,24
1,ABDALLAH,1977,26
1,ABDALLAH,1978,15
1,ABDALLAH,1979,13
1,ABDALLAH,1980,18
1,ABDALLAH,1981,29
1,ABDALLAH,1982,44
1,ABDALLAH,1983,13
1,ABDALLAH,1984,31
1,ABDALLAH,1985,19
1,ABDALLAH,1986,25
1,ABDALLAH,1987,13
1,ABDALLAH,1988,23
1,ABDALLAH,1989,23
1,ABDALLAH,1990,15
1,ABDALLAH,1991,12
1,ABDALLAH,1992,16
1,ABDALLAH,1995,13
1,ABDALLAH,1996,20
1,ABDALLAH,1997,21
1,ABDALLAH,1998,29
1,ABDALLAH,1999,43
1,ABDALLAH,2000,54
1,ABDALLAH,2001,45
1,ABDALLAH,2002,65
1,ABDALLAH,2003,70
1,ABDALLAH,2004,82
1,ABDALLAH,2005,111
1,ABDALLAH,2006,98
1,ABDALLAH,2007,98
1,ABDALLAH,2008,143
1,ABDALLAH,2009,140
1,ABDALLAH,2010,149
1,ABDALLAH,2011,150
1,ABDALLAH,2012,165
1,ABDALLAH,2013,224
1,ABDALLAH,2014,236
1,ABDALLAH,2015,273
1,ABDALLAH,2016,229
1,ABDALLAH,2017,219
1,ABDALLAH,2018,206
1,ABDALLAH,2019,157
1,ABDALLAH,2020,157
1,ABDALLAH,2021,107
1,ABDALLAH,2022,117
1,ABDEL,1953,13
1,ABDEL,1954,23
1,ABDEL,1955,15
1,ABDEL,1956,31
1,ABDEL,1957,45
1,ABDEL,1958,34
1,ABDEL,1959,56
1,ABDEL,1960,55
1,ABDEL,1961,58
1,ABDEL,1962,65
1,ABDEL,1963,60
1,ABDEL,1964,50
1,ABDEL,1965,54
1,ABDEL,1966,47
1,ABDEL,1967,48
1,ABDEL,1968,48
1,ABDEL,1969,53
1,ABDEL,1970,47
1,ABDEL,1971,42
1,ABDEL,1972,57
1,ABDEL,1973,59
1,ABDEL,1974,69
1,ABDEL,1975,28
1,ABDEL,1976,21
1,ABDEL,1977,44
1,ABDEL,1978,53
1,ABDEL,1979,48
1,ABDEL,1980,41
1,ABDEL,1981,61
1,ABDEL,1982,60
1,ABDEL,1983,50
1,ABDEL,1984,69
1,ABDEL,1985,56
1,ABDEL,1986,46
1,ABDEL,1987,48
1,ABDEL,1988,52
1,ABDEL,1989,39
1,ABDEL,1990,37
1,ABDEL,1991,24
1,ABDEL,1992,19
1,ABDEL,1993,39
1,ABDEL,1994,29
1,ABDEL,1995,20
1,ABDEL,1996,29
1,ABDEL,1997,22
1,ABDEL,1998,15
1,ABDEL,1999,35
1,ABDEL,2000,33
1,ABDEL,2001,20
1,ABDEL,2002,30
1,ABDEL,2003,37
1,ABDEL,2004,22
1,ABDEL,2005,30
1,ABDEL,2006,34
1,ABDEL,2007,33
1,ABDEL,2008,31
1,ABDEL,2009,34
1,ABDEL,2010,33
1,ABDEL,2011,25
1,ABDEL,2012,49
1,ABDEL,2013,30
1,ABDEL,2014,44
1,ABDEL,2015,54
1,ABDEL,2016,23
1,ABDEL,2017,53
1,ABDEL,2018,28
1,ABDEL,2019,37
1,ABDEL,2020,37
1,ABDEL,2021,38
1,ABDEL,2022,15
1,ABDELAZIZ,1956,11
1,ABDELAZIZ,1960,12
1,ABDELAZIZ,1961,11
1,ABDELAZIZ,1962,20
1,ABDELAZIZ,1963,22
1,ABDELAZIZ,1964,34
1,ABDELAZIZ,1965,25
1,ABDELAZIZ,1966,38
1,ABDELAZIZ,1967,40
1,ABDELAZIZ,1968,26
1,ABDELAZIZ,1969,30
1,ABDELAZIZ,1970,19
1,ABDELAZIZ,1971,48
1,ABDELAZIZ,1972,21
1,ABDELAZIZ,1973,22
1,ABDELAZIZ,1974,28
1,ABDELAZIZ,1975,21
1,ABDELAZIZ,1976,30
1,ABDELAZIZ,1977,21
1,ABDELAZIZ,1978,31
1,ABDELAZIZ,1979,45
1,ABDELAZIZ,1980,32
1,ABDELAZIZ,1981,23
1,ABDELAZIZ,1982,35
1,ABDELAZIZ,1983,33
1,ABDELAZIZ,1984,17
1,ABDELAZIZ,1985,29
1,ABDELAZIZ,1986,10
1,ABDELAZIZ,1987,13
1,ABDELAZIZ,1989,14
1,ABDELAZIZ,1990,14
1,ABDELAZIZ,1991,15
1,ABDELAZIZ,1992,15
1,ABDELAZIZ,2006,11
1,ABDELGHANI,1983,10
1,ABDELHAFID,1963,19
1,ABDELHAFID,1964,13
1,ABDELHAFID,1965,23
1,ABDELHAFID,1966,24
1,ABDELHAFID,1967,19
1,ABDELHAFID,1968,18
1,ABDELHAFID,1970,10
1,ABDELHAFID,1971,16
1,ABDELHAFID,1972,11
1,ABDELHAK,1979,12
1,ABDELHAK,1980,10
1,ABDELHAK,1981,10
1,ABDELHAK,1985,15
1,ABDELHAK,1989,17
1,ABDELHAKIM,1961,11
1,ABDELHAKIM,1962,10
1,ABDELHAKIM,1963,17
1,ABDELHAKIM,1964,12
1,ABDELHAKIM,1965,12
1,ABDELHAKIM,1966,12
1,ABDELHAKIM,1967,16
1,ABDELHAKIM,1969,12
1,ABDELHAKIM,1971,24
1,ABDELHAKIM,1974,16
1,ABDELHAKIM,1975,13
1,ABDELHAKIM,1977,12
1,ABDELHAKIM,1978,14
1,ABDELHAKIM,1980,17
1,ABDELHAKIM,1981,12
1,ABDELHAKIM,1985,13
1,ABDELHAKIM,1988,14
1,ABDELHAKIM,1990,12
1,ABDELHAKIM,1995,18
1,ABDELHAKIM,1996,25
1,ABDELHAKIM,2003,11
1,ABDELHALIM,1977,15
1,ABDELHALIM,1984,10
1,ABDELHAMID,1959,10
1,ABDELHAMID,1963,14
1,ABDELHAMID,1964,24
1,ABDELHAMID,1965,18
1,ABDELHAMID,1966,20
1,ABDELHAMID,1967,16
1,ABDELHAMID,1970,10
1,ABDELKADER,1953,18
1,ABDELKADER,1954,34
1,ABDELKADER,1955,42
1,ABDELKADER,1956,50
1,ABDELKADER,1957,53
1,ABDELKADER,1958,54
1,ABDELKADER,1959,69
1,ABDELKADER,1960,102
1,ABDELKADER,1961,108
1,ABDELKADER,1962,127
1,ABDELKADER,1963,146
1,ABDELKADER,1964,187
1,ABDELKADER,1965,183
1,ABDELKADER,1966,222
1,ABDELKADER,1967,262
1,ABDELKADER,1968,266
1,ABDELKADER,1969,236
1,ABDELKADER,1970,234
1,ABDELKADER,1971,306
1,ABDELKADER,1972,283
1,ABDELKADER,1973,250
1,ABDELKADER,1974,263
1,ABDELKADER,1975,257
1,ABDELKADER,1976,223
1,ABDELKADER,1977,196
1,ABDELKADER,1978,239
1,ABDELKADER,1979,217
1,ABDELKADER,1980,191
1,ABDELKADER,1981,218
1,ABDELKADER,1982,205
1,ABDELKADER,1983,224
1,ABDELKADER,1984,174
1,ABDELKADER,1985,159
1,ABDELKADER,1986,111
1,ABDELKADER,1987,141
1,ABDELKADER,1988,78
1,ABDELKADER,1989,75
1,ABDELKADER,1990,80
1,ABDELKADER,1991,66
1,ABDELKADER,1992,73
1,ABDELKADER,1993,66
1,ABDELKADER,1994,50
1,ABDELKADER,1995,65
1,ABDELKADER,1996,32
1,ABDELKADER,1997,56
1,ABDELKADER,1998,63
1,ABDELKADER,1999,36
1,ABDELKADER,2000,71
1,ABDELKADER,2001,60
1,ABDELKADER,2002,62
1,ABDELKADER,2003,72
1,ABDELKADER,2004,66
1,ABDELKADER,2005,50
1,ABDELKADER,2006,55
1,ABDELKADER,2007,77
1,ABDELKADER,2008,59
1,ABDELKADER,2009,53
1,ABDELKADER,2010,45
1,ABDELKADER,2011,34
1,ABDELKADER,2012,33
1,ABDELKADER,2013,26
1,ABDELKADER,2014,35
1,ABDELKADER,2015,37
1,ABDELKADER,2016,34
1,ABDELKADER,2017,20
1,ABDELKADER,2018,32
1,ABDELKADER,2019,29
1,ABDELKADER,2020,17
1,ABDELKADER,2021,26
1,ABDELKADER,2022,20
1,ABDELKARIM,1981,20
1,ABDELKARIM,1983,19
1,ABDELKARIM,1984,11
1,ABDELKARIM,1985,29
1,ABDELKARIM,1988,10
1,ABDELKARIM,1991,19
1,ABDELKARIM,1994,12
1,ABDELKARIM,1996,19
1,ABDELKARIM,2000,13
1,ABDELKARIM,2004,10
1,ABDELKARIM,2015,10
1,ABDELKARIM,2016,17
1,ABDELKRIM,1956,21
1,ABDELKRIM,1957,13
1,ABDELKRIM,1958,21
1,ABDELKRIM,1959,21
1,ABDELKRIM,1960,59
1,ABDELKRIM,1961,61
1,ABDELKRIM,1962,62
1,ABDELKRIM,1963,76
1,ABDELKRIM,1964,67
1,ABDELKRIM,1965,60
1,ABDELKRIM,1966,65
1,ABDELKRIM,1967,65
1,ABDELKRIM,1968,62
1,ABDELKRIM,1969,51
1,ABDELKRIM,1970,54
1,ABDELKRIM,1971,49
1,ABDELKRIM,1972,50
1,ABDELKRIM,1973,60
1,ABDELKRIM,1974,54
1,ABDELKRIM,1975,36
1,ABDELKRIM,1976,23
1,ABDELKRIM,1977,24
1,ABDELKRIM,1978,34
1,ABDELKRIM,1979,24
1,ABDELKRIM,1980,18
1,ABDELKRIM,1981,20
1,ABDELKRIM,1982,28
1,ABDELKRIM,1983,23
1,ABDELKRIM,1985,14
1,ABDELKRIM,1986,25
1,ABDELKRIM,1988,12
1,ABDELKRIM,1990,14
1,ABDELKRIM,1993,10
1,ABDELLAH,1973,14
1,ABDELLAH,1974,20
1,ABDELLAH,1976,17
1,ABDELLAH,1977,14
1,ABDELLAH,1978,12
1,ABDELLAH,1980,22
1,ABDELLAH,1981,28
1,ABDELLAH,1982,19
1,ABDELLAH,1983,27
1,ABDELLAH,1984,20
1,ABDELLAH,1985,35
1,ABDELLAH,1986,29
1,ABDELLAH,1987,22
1,ABDELLAH,1988,17
1,ABDELLAH,1989,14
1,ABDELLAH,1990,20
1,ABDELLAH,1992,15
1,ABDELLAH,1994,14
1,ABDELLAH,1995,21
1,ABDELLAH,1997,12
1,ABDELLAH,1998,17
1,ABDELLAH,2000,28
1,ABDELLAH,2001,19
1,ABDELLAH,2003,27
1,ABDELLAH,2004,20
1,ABDELLAH,2005,25
1,ABDELLAH,2006,42
1,ABDELLAH,2007,24
1,ABDELLAH,2008,31
1,ABDELLAH,2009,24
1,ABDELLAH,2010,43
1,ABDELLAH,2011,50
1,ABDELLAH,2012,45
1,ABDELLAH,2013,32
1,ABDELLAH,2014,52
